_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68f27cb258e46f71a9f15b85,,77.59,93.49,83.59,70.49,194;6;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760722098000
68f27c7258e46f71a9f15840,,67.59,92.63,69.59,56.83,169;1;0;1,time,30,-1,1,30,0,18.98,false,false,english,,normal,false,false,false,,1760722034000
68f2523258e46f71a9ef0185,,65.6,90.16,70.4,57.06,164;3;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760711218000
68f2520b58e46f71a9eeff79,,78.4,93.64,83.2,67.1,196;1;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760711179000
68f251dd58e46f71a9eefcee,,62.8,86.91,68.4,63.4,157;4;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760711133000
68f251bb58e46f71a9eefb0f,,81.2,93.07,89.2,71.92,203;5;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760711099000
68f2519058e46f71a9eef8d1,,68,89.76,75.19,67.48,170;2;0;3,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760711056000
68f2516f58e46f71a9eef70e,,68,89.71,74.4,61.59,170;3;0;2,time,30,-1,2,30,0,4.85,false,false,english,,normal,false,false,false,,1760711023000
68f2514658e46f71a9eef507,,68.8,91.54,73.6,53.48,172;2;0;1,time,30,-1,1,30,0,4.51,false,false,english,,normal,false,false,false,,1760710982000
68f2510658e46f71a9eef18a,,72.39,91.13,74.39,60.98,181;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710918000
68f250e558e46f71a9eeef8b,,81.6,93.78,84,65.97,204;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710885000
68f250b258e46f71a9eeecb9,,69.6,89.85,73.6,59.6,174;5;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710834000
68f2509158e46f71a9eeeae6,,82.79,94.67,85.59,69.07,207;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710801000
68f2507058e46f71a9eee90d,,67.2,86.14,70.8,63.25,168;4;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710768000
68f2504f58e46f71a9eee733,,72.8,92,72.8,60.46,182;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710735000
68f2502e58e46f71a9eee54b,,67.6,91.41,72,63.19,169;0;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710702000
68f2500d58e46f71a9eee368,,64.8,88.54,66.4,60.37,162;1;0;0,time,30,-1,1,30,0,24.6,false,false,english,,normal,false,false,false,,1760710669000
68f24fd358e46f71a9eedfea,,66.4,84.39,72.8,58.62,166;5;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710611000
68f24fb158e46f71a9eeddc5,,78.79,94.86,81.19,66.1,197;1;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710577000
68f24f9058e46f71a9eedbb7,,62,86.91,68,65.24,155;3;0;1,time,30,-1,1,30,0,4.38,false,false,english,,normal,false,false,false,,1760710544000
68f24f6958e46f71a9eed94f,,86,94.74,87.2,67.31,215;2;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710505000
68f24f4858e46f71a9eed767,,65.6,88.94,71.6,62.18,164;6;2;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710472000
68f24f1458e46f71a9eed46f,,69.6,89.32,77.6,65.6,174;5;2;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710420000
68f24ef258e46f71a9eed293,,75.59,96.12,78.39,64.39,189;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710386000
68f24ed158e46f71a9eed0d7,,69.99,93.5,75.59,61.03,175;2;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760710353000
68f21734c2c5004cd451b11d,,67.6,91.09,75.59,54.69,169;4;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760696116000
68f21710c2c5004cd451afe2,,67.39,85.71,79.93,75.62,43;1;0;2,words,10,-1,1,7.66,0,4.58,false,false,english,,normal,false,false,false,,1760696080000
68f21700c2c5004cd451af5b,,70.91,93.22,70.91,67.45,55;0;0;0,words,10,-1,0,9.31,0,0,false,false,english,,normal,false,false,false,,1760696064000
68f216f0c2c5004cd451aece,true,85.63,94.16,97.15,76.66,119;2;1;1,words,25,-1,2,16.68,0,8.16,false,false,english,,normal,false,false,false,,1760696048000
68f216c5c2c5004cd451ad3c,,72.8,93.2,78,65.19,182;1;0;1,time,30,-1,1,30,0,19.98,false,false,english,,normal,false,false,false,,1760696005000
68f2167dc2c5004cd451aae5,,65.6,90.77,71.2,60.15,164;1;0;3,time,30,-1,1,30,0,1.46,false,false,english,,normal,false,false,false,,1760695933000
68f2165ac2c5004cd451a999,,60.4,88.48,70.8,67.19,151;3;2;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695898000
68f21631c2c5004cd451a843,,72.07,88.14,72.07,64.79,52;0;0;0,words,10,-1,1,8.66,0,1.01,false,false,english,,normal,false,false,false,,1760695857000
68f21621c2c5004cd451a7b2,,74.58,93.22,81.89,64.7,51;1;0;0,words,10,-1,0,8.21,0,0,false,false,english,,normal,false,false,false,,1760695841000
68f21616c2c5004cd451a75f,,60.54,89.29,76.78,60.09,41;1;0;1,words,10,-1,1,8.13,0,4.49,false,false,english,,normal,false,false,false,,1760695830000
68f21606c2c5004cd451a6ca,,69.82,94,87.72,65.44,39;1;0;1,words,10,-1,5,6.7,0,11.95,false,false,english,,normal,false,false,false,,1760695814000
68f215eac2c5004cd451a5e0,,74.16,94.23,101.48,68.76,38;0;0;3,words,10,-1,1,6.15,0,2.25,false,false,english,,normal,false,false,false,,1760695786000
68f215c3c2c5004cd451a478,true,115.15,100,115.15,81.07,57;0;0;0,words,10,-1,0,5.94,0,0,false,false,english,,normal,false,false,false,,1760695747000
68f215a0c2c5004cd451a352,,110.57,100,110.57,77.89,51;0;0;0,words,10,-1,3,5.54,0,3.75,false,false,english,,normal,false,false,false,,1760695712000
68f21587c2c5004cd451a27a,,68,88.57,79.19,60.64,85;5;0;1,time,15,-1,1,15,0,1.05,false,false,english,,normal,false,false,false,,1760695687000
68f21572c2c5004cd451a1b9,,73.6,90.83,92.79,70.42,92;3;2;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1760695666000
68f21545c2c5004cd451a02b,,74.4,94.15,78.39,61.28,186;3;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695621000
68f21518c2c5004cd4519e71,,59.2,90.36,60.8,62.47,148;1;0;1,time,30,-1,1,30,0,10.72,false,false,english,,normal,false,false,false,,1760695576000
68f214e8c2c5004cd4519cac,,58,89.82,58,61.58,145;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695528000
68f214c7c2c5004cd4519ba3,,72.8,91.71,77.19,66.62,182;3;2;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695495000
68f2149dc2c5004cd45199fc,,65.6,89.3,69.2,62.58,164;6;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695453000
68f2147dc2c5004cd45198d5,,58.4,89.2,63.2,53.54,146;2;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695421000
68f2145cc2c5004cd45197a8,,56.4,86.03,61.6,56.66,141;1;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695388000
68f2143bc2c5004cd451967c,,69.2,91.3,79.6,66.88,173;3;2;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695355000
68f213d0c2c5004cd45192f0,,82.4,94.62,85.2,67.48,206;3;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695248000
68f213a6c2c5004cd4519161,,82.4,94.67,85.6,65.8,206;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695206000
68f2137bc2c5004cd4518ffb,,70.4,93.33,74,64.76,176;2;0;0,time,30,-1,3,30,0,31.24,false,false,english,,normal,false,false,false,,1760695163000
68f21331c2c5004cd4518d6f,,76,91.51,78.8,69.23,190;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695089000
68f21310c2c5004cd4518c34,,73.19,92.65,77.19,63.12,183;2;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695056000
68f212f0c2c5004cd4518b0a,,65.6,90.22,65.6,56.75,164;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760695024000
68f212c9c2c5004cd451899c,,85.99,94.74,85.99,64.61,215;0;0;0,time,30,-1,2,30,0,27.76,false,false,english,,normal,false,false,false,,1760694985000
68f21289c2c5004cd4518779,,62.8,89.3,66.8,65.18,157;5;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694921000
68f2125fc2c5004cd4518608,,73.2,92.34,79.99,65.54,183;5;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694879000
68f2123fc2c5004cd45184e8,,69.2,93.16,70.8,71.08,173;0;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694847000
68f2121ec2c5004cd45183c1,,63.6,90.06,63.6,53.09,159;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694814000
68f211fdc2c5004cd45182a9,,72.8,90.29,75.59,64.59,182;4;1;0,time,30,-1,3,30,0,43.97,false,false,english,,normal,false,false,false,,1760694781000
68f2119ec2c5004cd4517f3e,,65.6,90.4,73.6,58.52,164;3;1;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694686000
68f2117cc2c5004cd4517dfc,,79.59,97.14,81.99,70.73,199;0;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694652000
68f2115cc2c5004cd4517cde,,67.2,93.05,69.2,61.45,168;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694620000
68f2113bc2c5004cd4517ba1,,70,92.82,71.6,62.8,175;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694587000
68f2111ac2c5004cd4517a84,,68.8,91.67,72,66.84,172;2;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694554000
68f210d9c2c5004cd4517864,,56.8,88.69,58.4,54.27,142;0;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694489000
68f210b7c2c5004cd4517732,,81.2,94.91,81.2,67.65,203;0;0;0,time,30,-1,1,30,0,0.91,false,false,english,,normal,false,false,false,,1760694455000
68f21094c2c5004cd45175e5,,60.4,89.89,64.8,56.75,151;1;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760694420000
68f21059c2c5004cd45173e3,,79.19,98.02,79.19,65.51,198;0;0;0,time,30,-1,2,30,0,5.14,false,false,english,,normal,false,false,false,,1760694361000
