_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6895b725b62381ed49b04fd5,,30.8,77.69,47.2,52.65,77;10;0;2,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642213000
6895b703b62381ed49b04e95,,46.4,86.5,62.4,59.51,116;6;3;1,time,30,-1,1,30,1,1.04,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642179000
6895b6d8b62381ed49b04d13,,57.2,94.38,61.2,68.14,143;2;0;0,time,30,-1,1,30,0,2.92,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642136000
6895b6a7b62381ed49b04b32,,44.4,84.67,50,48.11,111;5;2;1,time,30,-1,7,30,0,51.95,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754642087000
6895b643b62381ed49b0479d,,54.39,91.93,58.79,56.35,136;0;0;2,time,30,-1,4,30,1,21.55,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641987000
6895b5f7b62381ed49b044f8,,57.6,89.47,64,59.47,144;2;2;0,time,30,-1,3,30,0,32.67,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641911000
6895b58eb62381ed49b0414a,TRUE,68,99.42,68,65.17,170;0;0;0,time,30,-1,1,30,0,28,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641806000
6895b54bb62381ed49b03ee9,,43.6,89.84,46.8,48.1,109;2;0;1,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641739000
6895b52ab62381ed49b03dce,,46,90.3,50,60.08,115;2;0;1,time,30,-1,1,30,0,30,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641706000
6895b4e7b62381ed49b03b61,,44,87.33,56.8,66.14,110;6;1;1,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641639000
6895b4c4b62381ed49b03a24,,53.59,92.11,56.79,59.92,134;3;0;0,time,30,-1,0,30.01,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754641604000
6894a24620ac094ae8519912,,53.2,87.12,62,64.55,133;8;2;0,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754571334000
68944d2120ac094ae84e2e8f,,50.4,87.42,52,50.5,126;0;1;0,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549537000
68944cf220ac094ae84e2cb7,,44,82.21,59.19,51.93,110;8;1;1,time,30,-1,1,30,0,28,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549490000
68944b6d20ac094ae84e1d97,,37.6,82.98,53.2,53.72,94;9;3;0,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549101000
68944b4c20ac094ae84e1c55,,47.99,89.26,56.39,59.93,120;5;0;0,time,30,-1,0,30.01,1,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549068000
68944b2b20ac094ae84e1b02,,44.8,83.55,56.4,57.12,112;8;1;1,time,30,-1,0,30,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549035000
68944b0920ac094ae84e19a8,,51.2,89.1,57.6,58.66,128;4;1;1,time,30,-1,3,30,0,42.18,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754549001000
68944a2720ac094ae84e10ce,,54,91.14,57.2,56.48,135;0;1;0,time,30,-1,8,30,0,56.89,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754548775000
6894496720ac094ae84e09c0,,50.79,88.75,60.39,62.1,127;7;0;0,time,30,-1,1,30,0,1.43,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754548583000
688fa42020ac094ae822fae4,,45.6,89.73,56,64.13,114;5;0;1,time,30,-1,1,30,0,16.94,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754244128000
688fa3b720ac094ae822f718,TRUE,64.4,93.82,67.2,67.75,161;1;0;0,time,30,-1,1,30,0,16.18,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1754244023000
